"","title","Hierarchy","Occupation.type","Employment.2016","Employment.2026","ChgEmploy.2016to26.Num","ChgEmploy.2016to26.Perc","Percent.self.employed..2016","Occupational.openings..2016.26.annual.average","Median.annual.wage..2017.1.","Typical.education.needed.for.entry","Work.experience.in.a.related.occupation","Typical.on.the.job.training.needed.to.attain.competency.in.the.occupation","ttl","Level0","Level4","Level3","Level2","Level1","pathString"
"304","Preschool & kindergarten teachers",3,"Summary","633","695.3","62.3",9.8,0.8,"70.3","$33,540 ",NA,NA,NA,"Preschool & kindergarten teachers","Jobs","Postsecondary teachers, all other","Preschool & kindergarten teachers","Preschool, primary, etc","Education, training, etc","Jobs/Education, training, etc/Preschool, primary, etc/Preschool & kindergarten teachers/Postsecondary teachers, all other"
"305","Preschool teachers, except special education",4,"Line item","478.5","528.6","50.1",10.5,1,"53.6","$28,990 ","Associate's degree","None","None","Preschool teachers, except special education","Jobs","Preschool teachers, except special education","Preschool & kindergarten teachers","Preschool, primary, etc","Education, training, etc","Jobs/Education, training, etc/Preschool, primary, etc/Preschool & kindergarten teachers/Preschool teachers, except special education"
"306","Kindergarten teachers, except special education",4,"Line item","154.4","166.7","12.3",7.9,0.2,"16.7","$54,230 ","Bachelor's degree","None","None","Kindergarten teachers, except special education","Jobs","Kindergarten teachers, except special education","Preschool & kindergarten teachers","Preschool, primary, etc","Education, training, etc","Jobs/Education, training, etc/Preschool, primary, etc/Preschool & kindergarten teachers/Kindergarten teachers, except special education"
"307","Elementary & middle school teachers",3,"Summary","2,053.90","2,206.20","152.3",7.4,NA,"164.4","$57,350 ",NA,NA,NA,"Elementary & middle school teachers","Jobs","Kindergarten teachers, except special education","Elementary & middle school teachers","Preschool, primary, etc","Education, training, etc","Jobs/Education, training, etc/Preschool, primary, etc/Elementary & middle school teachers/Kindergarten teachers, except special education"
"308","Elementary school teachers, except special education",4,"Line item","1,410.90","1,514.90","104.1",7.4,NA,"112.8","$57,160 ","Bachelor's degree","None","None","Elementary school teachers, except special education","Jobs","Elementary school teachers, except special education","Elementary & middle school teachers","Preschool, primary, etc","Education, training, etc","Jobs/Education, training, etc/Preschool, primary, etc/Elementary & middle school teachers/Elementary school teachers, except special education"
"309","Middle school teachers, except special & career/technical education",4,"Line item","630.3","677.7","47.3",7.5,NA,"50.5","$57,720 ","Bachelor's degree","None","None","Middle school teachers, except special & career/technical education","Jobs","Middle school teachers, except special & career/technical education","Elementary & middle school teachers","Preschool, primary, etc","Education, training, etc","Jobs/Education, training, etc/Preschool, primary, etc/Elementary & middle school teachers/Middle school teachers, except special & career/technical education"
"310","Career/technical education teachers, middle school",4,"Line item","12.7","13.6","0.9",7.3,NA,"1","$58,630 ","Bachelor's degree","Less than 5 years","None","Career/technical education teachers, middle school","Jobs","Career/technical education teachers, middle school","Elementary & middle school teachers","Preschool, primary, etc","Education, training, etc","Jobs/Education, training, etc/Preschool, primary, etc/Elementary & middle school teachers/Career/technical education teachers, middle school"
"311","Secondary school teachers",3,"Summary","1,097.40","1,179.20","81.8",7.5,NA,"85.5","$59,130 ",NA,NA,NA,"Secondary school teachers","Jobs","Career/technical education teachers, middle school","Secondary school teachers","Preschool, primary, etc","Education, training, etc","Jobs/Education, training, etc/Preschool, primary, etc/Secondary school teachers/Career/technical education teachers, middle school"
"312","Secondary school teachers, except special & career/technical education",4,"Line item","1,018.70","1,095.50","76.8",7.5,NA,"79.5","$59,170 ","Bachelor's degree","None","None","Secondary school teachers, except special & career/technical education","Jobs","Secondary school teachers, except special & career/technical education","Secondary school teachers","Preschool, primary, etc","Education, training, etc","Jobs/Education, training, etc/Preschool, primary, etc/Secondary school teachers/Secondary school teachers, except special & career/technical education"
"313","Career/technical education teachers, secondary school",4,"Line item","78.7","83.7","5",6.4,NA,"6","$58,660 ","Bachelor's degree","Less than 5 years","None","Career/technical education teachers, secondary school","Jobs","Career/technical education teachers, secondary school","Secondary school teachers","Preschool, primary, etc","Education, training, etc","Jobs/Education, training, etc/Preschool, primary, etc/Secondary school teachers/Career/technical education teachers, secondary school"
"314","Special education teachers",3,"Summary","480.6","517.9","37.3",7.8,NA,"38.5","$58,710 ",NA,NA,NA,"Special education teachers","Jobs","Career/technical education teachers, secondary school","Special education teachers","Preschool, primary, etc","Education, training, etc","Jobs/Education, training, etc/Preschool, primary, etc/Special education teachers/Career/technical education teachers, secondary school"
"315","Special education teachers, preschool",4,"Line item","29.2","32.5","3.3",11.2,NA,"2.5","$53,640 ","Bachelor's degree","None","None","Special education teachers, preschool","Jobs","Special education teachers, preschool","Special education teachers","Preschool, primary, etc","Education, training, etc","Jobs/Education, training, etc/Preschool, primary, etc/Special education teachers/Special education teachers, preschool"
"316","Special education teachers, kindergarten & elementary school",4,"Line item","188.9","202.8","13.9",7.4,NA,"15","$58,600 ","Bachelor's degree","None","None","Special education teachers, kindergarten & elementary school","Jobs","Special education teachers, kindergarten & elementary school","Special education teachers","Preschool, primary, etc","Education, training, etc","Jobs/Education, training, etc/Preschool, primary, etc/Special education teachers/Special education teachers, kindergarten & elementary school"
"317","Special education teachers, middle school",4,"Line item","89.3","95.7","6.3",7.1,NA,"7.1","$59,510 ","Bachelor's degree","None","None","Special education teachers, middle school","Jobs","Special education teachers, middle school","Special education teachers","Preschool, primary, etc","Education, training, etc","Jobs/Education, training, etc/Preschool, primary, etc/Special education teachers/Special education teachers, middle school"
"318","Special education teachers, secondary school",4,"Line item","131.9","141.6","9.7",7.4,NA,"10.5","$60,180 ","Bachelor's degree","None","None","Special education teachers, secondary school","Jobs","Special education teachers, secondary school","Special education teachers","Preschool, primary, etc","Education, training, etc","Jobs/Education, training, etc/Preschool, primary, etc/Special education teachers/Special education teachers, secondary school"
"319","Special education teachers, all other",4,"Line item","41.3","45.4","4.1",9.8,NA,"3.4","$54,800 ","Bachelor's degree","None","None","Special education teachers, all other","Jobs","Special education teachers, all other","Special education teachers","Preschool, primary, etc","Education, training, etc","Jobs/Education, training, etc/Preschool, primary, etc/Special education teachers/Special education teachers, all other"
"320","Other teachers & instructors",2,"Summary","1,416.20","1,568.20","152",10.7,11,"176","$32,460 ",NA,NA,NA,"Other teachers & instructors","Jobs","Special education teachers, all other","Special education teachers","Other teachers & instructors","Education, training, etc","Jobs/Education, training, etc/Other teachers & instructors/Special education teachers/Special education teachers, all other"
"321","Adult basic & secondary education & literacy teachers & instructors",3,"Line item","68.2","64.7","-3.4",-5.1,7.8,"6.8","$52,100 ","Bachelor's degree","None","None","Adult basic & secondary education & literacy teachers & instructors","Jobs","Special education teachers, all other","Adult basic & secondary education & literacy teachers & instructors","Other teachers & instructors","Education, training, etc","Jobs/Education, training, etc/Other teachers & instructors/Adult basic & secondary education & literacy teachers & instructors/Special education teachers, all other"
"322","Self-enrichment education teachers",3,"Line item","354.2","411.6","57.4",16.2,19.8,"47","$38,440 ","High school diploma or equivalent","Less than 5 years","None","Self-enrichment education teachers","Jobs","Special education teachers, all other","Self-enrichment education teachers","Other teachers & instructors","Education, training, etc","Jobs/Education, training, etc/Other teachers & instructors/Self-enrichment education teachers/Special education teachers, all other"
"323","Teachers & instructors, all other",3,"Line item","993.9","1,091.80","98",9.9,8.1,"122.2","$30,310 ","Bachelor's degree","None","None","Teachers & instructors, all other","Jobs","Special education teachers, all other","Teachers & instructors, all other","Other teachers & instructors","Education, training, etc","Jobs/Education, training, etc/Other teachers & instructors/Teachers & instructors, all other/Special education teachers, all other"
"324","Librarians, curators, & archivists",2,"Summary","268.4","293.9","25.6",9.5,0.2,"32.6","$47,380 ",NA,NA,NA,"Librarians, curators, etc","Jobs","Special education teachers, all other","Teachers & instructors, all other","Librarians, curators, etc","Education, training, etc","Jobs/Education, training, etc/Librarians, curators, etc/Teachers & instructors, all other/Special education teachers, all other"
"325","Archivists, curators, & museum technicians",3,"Summary","31","35.1","4.2",13.5,1.4,"3.7","$47,360 ",NA,NA,NA,"Archivists, curators, etc","Jobs","Special education teachers, all other","Archivists, curators, etc","Librarians, curators, etc","Education, training, etc","Jobs/Education, training, etc/Librarians, curators, etc/Archivists, curators, etc/Special education teachers, all other"
"326","Archivists",4,"Line item","6.8","7.8","1",14.3,1.3,"0.8","$51,760 ","Master's degree","None","None","Archivists","Jobs","Archivists","Archivists, curators, etc","Librarians, curators, etc","Education, training, etc","Jobs/Education, training, etc/Librarians, curators, etc/Archivists, curators, etc/Archivists"
"327","Curators",4,"Line item","12.4","14.1","1.7",14,1.6,"1.5","$53,770 ","Master's degree","None","None","Curators","Jobs","Curators","Archivists, curators, etc","Librarians, curators, etc","Education, training, etc","Jobs/Education, training, etc/Librarians, curators, etc/Archivists, curators, etc/Curators"
"328","Museum technicians & conservators",4,"Line item","11.8","13.3","1.5",12.4,1.4,"1.4","$40,670 ","Bachelor's degree","None","None","Museum technicians & conservators","Jobs","Museum technicians & conservators","Archivists, curators, etc","Librarians, curators, etc","Education, training, etc","Jobs/Education, training, etc/Librarians, curators, etc/Archivists, curators, etc/Museum technicians & conservators"
"329","Librarians",3,"Line item","138.2","150.6","12.4",8.9,NA,"14.5","$58,520 ","Master's degree","None","None","Librarians","Jobs","Museum technicians & conservators","Librarians","Librarians, curators, etc","Education, training, etc","Jobs/Education, training, etc/Librarians, curators, etc/Librarians/Museum technicians & conservators"
"330","Library technicians",3,"Line item","99.2","108.2","9",9.1,NA,"14.4","$33,690 ","Postsecondary nondegree award","None","None","Library technicians","Jobs","Museum technicians & conservators","Library technicians","Librarians, curators, etc","Education, training, etc","Jobs/Education, training, etc/Librarians, curators, etc/Library technicians/Museum technicians & conservators"
"331","Other education, training, & library occupations",2,"Summary","1,605.70","1,746.40","140.7",8.8,0.6,"178.8","$28,320 ",NA,NA,NA,"Other education, training, etc","Jobs","Museum technicians & conservators","Library technicians","Other education, training, etc","Education, training, etc","Jobs/Education, training, etc/Other education, training, etc/Library technicians/Museum technicians & conservators"
"332","Audio-visual & multimedia collections specialists",3,"Line item","11.3","12.3","1",8.9,2.2,"1.1","$48,590 ","Bachelor's degree","Less than 5 years","None","Audio-visual & multimedia collections specialists","Jobs","Museum technicians & conservators","Audio-visual & multimedia collections specialists","Other education, training, etc","Education, training, etc","Jobs/Education, training, etc/Other education, training, etc/Audio-visual & multimedia collections specialists/Museum technicians & conservators"
