title,Hierarchy,"Occupationtype",Employment.2016,Employment.2026,ChgEmploy.2016to26.Num,ChgEmploy.2016to26.Perc,"Percent self employed, 2016","Occupational openings, 2016-26 annual average","Median annual wage, 2017(1)",Typical education needed for entry,Work experience in a related occupation,Typical on-the-job training needed to attain competency in the occupation
Healthcare social workers,4,Line item,176.5,212,35.4,20.1,3.3,22.9,"$54,870 ",Master's degree,None,Internship/residency
Mental health & substance abuse social workers,4,Line item,123.9,147.9,23.9,19.3,3,15.9,"$43,250 ",Master's degree,None,Internship/residency
"Social workers, all other",4,Line item,64,69.3,5.3,8.3,1,7.2,"$61,980 ",Bachelor's degree,None,None
Miscellaneous community & social service specialists,3,Summary,699.9,801.4,101.5,14.5,0.4,95,"$37,670 ",NA,NA,NA
Health educators,4,Line item,61,69.9,8.8,14.5,NA,8.7,"$53,940 ",Bachelor's degree,None,None
Probation officers & correctional treatment specialists,4,Line item,91.3,96.5,5.2,5.7,NA,8.3,"$51,410 ",Bachelor's degree,None,Short-term on-the-job training
Social & human service assistants,4,Line item,389.8,453.6,63.9,16.4,0.7,55.4,"$33,120 ",High school diploma or equivalent,None,Short-term on-the-job training
Community health workers,4,Line item,57.5,67.8,10.4,18.1,NA,8.5,"$38,370 ",High school diploma or equivalent,None,Short-term on-the-job training
"Community & social service specialists, all other",4,Line item,100.3,113.5,13.2,13.2,NA,14.1,"$41,570 ",Bachelor's degree,None,None
Religious workers,2,Summary,444.2,478.7,34.4,7.7,1.2,56.3,"$43,410 ",NA,NA,NA
Clergy,3,Line item,243.9,263.8,19.9,8.2,0.6,29.2,"$47,100 ",Bachelor's degree,None,Moderate-term on-the-job training
"Directors, religious activities & education",3,Line item,147.1,157.5,10.4,7.1,2.5,19.4,"$38,980 ",Bachelor's degree,Less than 5 years,None
"Religious workers, all other",3,Line item,53.2,57.3,4.1,7.7,NA,7.7,"$29,310 ",Bachelor's degree,None,None
Legal occupations,1,Summary,"1,283.30","1,399.50",116.2,9.1,14.4,90.8,"$80,080 ",NA,NA,NA
"Lawyers, judges, & related workers",2,Summary,858.2,926.9,68.7,8,19,44,"$116,210 ",NA,NA,NA
Lawyers & judicial law clerks,3,Summary,806.5,872.3,65.7,8.2,20.1,41.5,"$117,020 ",NA,NA,NA
Lawyers,4,Line item,792.5,857.5,65,8.2,20.4,40.7,"$119,250 ",Doctoral or professional degree,None,None
Judicial law clerks,4,Line item,14,14.8,0.8,5.5,NA,0.8,"$51,330 ",Doctoral or professional degree,None,None
"Judges, magistrates, & other judicial workers",3,Summary,51.7,54.7,3,5.8,2.4,2.5,"$105,840 ",NA,NA,NA
"Administrative law judges, adjudicators, & hearing officers",4,Line item,15.4,16,0.6,4,NA,0.7,"$94,790 ",Doctoral or professional degree,5 years or more,Short-term on-the-job training
"Arbitrators, mediators, & conciliators",4,Line item,7.8,8.7,0.8,10.4,15.5,0.4,"$60,670 ",Bachelor's degree,Less than 5 years,Moderate-term on-the-job training
"Judges, magistrate judges, & magistrates",4,Line item,28.4,30,1.6,5.6,NA,1.4,"$133,840 ",Doctoral or professional degree,5 years or more,Short-term on-the-job training
Legal support workers,2,Summary,425.1,472.6,47.5,11.2,5.2,46.8,"$50,630 ",NA,NA,NA
Paralegals & legal assistants,3,Line item,285.6,327.4,41.8,14.6,1.9,34.7,"$50,410 ",Associate's degree,None,None
Miscellaneous legal support workers,3,Summary,139.5,145.1,5.6,4,12.1,12.1,"$51,290 ",NA,NA,NA
Court reporters,4,Line item,19.6,20.3,0.7,3.4,7,1.7,"$55,120 ",Postsecondary nondegree award,None,Short-term on-the-job training
"Title examiners, abstractors, & searchers",4,Line item,69,72,3,4.4,17,6,"$46,850 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"Legal support workers, all other",4,Line item,50.9,52.8,1.9,3.8,7.5,4.4,"$56,120 ",Associate's degree,None,None
"Education, training, & library occupations",1,Summary,"9,426.50","10,315.40",888.9,9.4,1.9,918.5,"$48,740 ",NA,NA,NA
Postsecondary teachers,2,Summary,"1,871.40","2,108.30",236.9,12.7,0.3,172.4,"$67,140 ",NA,NA,NA
"Business teachers, postsecondary",3,Line item,104.2,123,18.9,18.1,0.3,10.4,"$80,300 ",Doctoral or professional degree,None,None
"Math & computer teachers, postsecondary",3,Summary,100.6,109.4,8.8,8.8,0.2,8.7,"$73,780 ",NA,NA,NA
"Computer science teachers, postsecondary",4,Line item,39.7,42.9,3.2,8.1,0.3,3.4,"$78,630 ",Doctoral or professional degree,None,None
"Mathematical science teachers, postsecondary",4,Line item,60.9,66.6,5.6,9.2,0.2,5.3,"$70,910 ",Doctoral or professional degree,None,None
"Engineering & architecture teachers, postsecondary",3,Summary,57.1,65,7.9,13.9,0.2,5.4,"$95,550 ",NA,NA,NA
"Architecture teachers, postsecondary",4,Line item,9.5,10.5,1,10.6,NA,0.8,"$80,050 ",Doctoral or professional degree,None,None
"Engineering teachers, postsecondary",4,Line item,47.6,54.6,6.9,14.6,0.2,4.5,"$98,360 ",Doctoral or professional degree,None,None
"Life sciences teachers, postsecondary",3,Summary,77.1,87.6,10.6,13.7,0.2,7.2,"$79,710 ",NA,NA,NA
"Agricultural sciences teachers, postsecondary",4,Line item,12.6,13.6,0.9,7.5,NA,1.1,"$86,140 ",Doctoral or professional degree,None,None
"Biological science teachers, postsecondary",4,Line item,62.3,71.7,9.4,15.2,0.3,6,"$78,240 ",Doctoral or professional degree,None,None
"Forestry & conservation science teachers, postsecondary",4,Line item,2.2,2.3,0.2,7.8,NA,0.2,"$87,420 ",Doctoral or professional degree,None,None
"Physical sciences teachers, postsecondary",3,Summary,64,70.3,6.3,9.8,0.3,5.6,"$81,230 ",NA,NA,NA
"Atmospheric, earth, marine, & space sciences teachers, postsecondary",4,Line item,13.1,14.4,1.3,9.5,NA,1.2,"$87,380 ",Doctoral or professional degree,None,None
"Chemistry teachers, postsecondary",4,Line item,26.3,28.9,2.6,9.9,0.3,2.3,"$77,190 ",Doctoral or professional degree,None,None
"Environmental science teachers, postsecondary",4,Line item,6.9,7.6,0.7,9.6,NA,0.6,"$76,360 ",Doctoral or professional degree,None,None
"Physics teachers, postsecondary",4,Line item,17.6,19.4,1.8,10,NA,1.6,"$87,340 ",Doctoral or professional degree,None,None
"Social sciences teachers, postsecondary",3,Summary,141.3,158,16.7,11.8,0.3,12.9,"$76,210 ",NA,NA,NA
"Anthropology & archeology teachers, postsecondary",4,Line item,7.1,7.8,0.7,10,NA,0.6,"$81,580 ",Doctoral or professional degree,None,None
"Area, ethnic, & cultural studies teachers, postsecondary",4,Line item,11.5,12.7,1.2,10.5,NA,1,"$72,230 ",Doctoral or professional degree,None,None
"Economics teachers, postsecondary",4,Line item,16.5,18.3,1.8,10.6,0.3,1.5,"$98,350 ",Doctoral or professional degree,None,None
"Geography teachers, postsecondary",4,Line item,5,5.4,0.4,8.4,NA,0.4,"$78,040 ",Doctoral or professional degree,None,None
"Political science teachers, postsecondary",4,Line item,21.2,23.4,2.2,10.6,0.3,1.9,"$81,430 ",Doctoral or professional degree,None,None
"Psychology teachers, postsecondary",4,Line item,46.9,54,7.1,15.1,0.3,4.5,"$73,770 ",Doctoral or professional degree,None,None
"Sociology teachers, postsecondary",4,Line item,17.9,19.6,1.8,9.8,NA,1.6,"$73,080 ",Doctoral or professional degree,None,None
"Social sciences teachers, postsecondary, all other",4,Line item,15.3,16.8,1.5,10,NA,1.3,"$64,480 ",Doctoral or professional degree,None,None
"Health teachers, postsecondary",3,Summary,301.4,378.3,76.9,25.5,0.3,33.1,"$88,410 ",NA,NA,NA
"Health specialties teachers, postsecondary",4,Line item,233.5,294,60.6,25.9,0.3,25.8,"$97,870 ",Doctoral or professional degree,Less than 5 years,None
"Nursing instructors & teachers, postsecondary",4,Line item,67.9,84.2,16.3,24,0.3,7.3,"$71,260 ",Doctoral or professional degree,Less than 5 years,None
"Education & library science teachers, postsecondary",3,Summary,80.5,88.8,8.2,10.2,0.3,7.2,"$64,680 ",NA,NA,NA
"Education teachers, postsecondary",4,Line item,74.5,82.2,7.7,10.3,0.3,6.6,"$64,020 ",Doctoral or professional degree,Less than 5 years,None
"Library science teachers, postsecondary",4,Line item,6,6.5,0.5,9,NA,0.5,"$70,940 ",Doctoral or professional degree,None,None
"Law, criminal justice, & social work teachers, postsecondary",3,Summary,53.4,59.6,6.2,11.7,0.3,4.8,"$70,640 ",NA,NA,NA
"Criminal justice & law enforcement teachers, postsecondary",4,Line item,17.3,19.4,2.2,12.5,NA,1.6,"$60,400 ",Doctoral or professional degree,None,None
"Law teachers, postsecondary",4,Line item,21.2,23.8,2.6,12.3,0.5,1.9,"$104,910 ",Doctoral or professional degree,Less than 5 years,None
"Social work teachers, postsecondary",4,Line item,14.9,16.3,1.5,9.9,NA,1.3,"$64,370 ",Doctoral or professional degree,None,None
"Arts, communications, & humanities teachers, postsecondary",3,Summary,334.9,372.2,37.3,11.1,0.3,30.2,"$66,940 ",NA,NA,NA
"Art, drama, & music teachers, postsecondary",4,Line item,122.5,137.2,14.7,12,0.4,11.2,"$66,930 ",Master's degree,None,None
"Communications teachers, postsecondary",4,Line item,34.1,37.5,3.4,10,0.3,3,"$66,510 ",Doctoral or professional degree,None,None
"English language & literature teachers, postsecondary",4,Line item,84.6,92.9,8.3,9.8,0.2,7.5,"$64,910 ",Doctoral or professional degree,None,None
"Foreign language & literature teachers, postsecondary",4,Line item,35,39.1,4.1,11.9,0.4,3.2,"$65,010 ",Doctoral or professional degree,None,None
"History teachers, postsecondary",4,Line item,26.9,29.7,2.8,10.3,0.3,2.4,"$72,690 ",Doctoral or professional degree,None,None
"Philosophy & religion teachers, postsecondary",4,Line item,31.8,35.7,3.9,12.3,0.5,2.9,"$69,590 ",Doctoral or professional degree,None,None
Miscellaneous postsecondary teachers,3,Summary,557,596.1,39.1,7,0.2,47,"$49,690 ",NA,NA,NA
Graduate teaching assistants,4,Line item,168.3,181.2,12.9,7.7,0.1,14.4,"$32,460 ",Bachelor's degree,None,None
"Home economics teachers, postsecondary",4,Line item,3.5,3.8,0.3,7.8,NA,0.3,"$71,630 ",Master's degree,None,None
"Recreation & fitness studies teachers, postsecondary",4,Line item,20.6,22.6,2,9.7,NA,1.8,"$60,150 ",Doctoral or professional degree,None,None
"Vocational education teachers, postsecondary",4,Line item,128,129.8,1.7,1.4,0.4,9.8,"$51,600 ",Bachelor's degree,Less than 5 years,None
"Postsecondary teachers, all other",4,Line item,236.5,258.7,22.2,9.4,0.2,20.7,"$64,480 ",Doctoral or professional degree,None,None
"Preschool, primary, secondary, & special education school teachers",2,Summary,"4,264.80","4,598.70",333.8,7.8,0.1,358.7,"$55,790 ",NA,NA,NA
Preschool & kindergarten teachers,3,Summary,633,695.3,62.3,9.8,0.8,70.3,"$33,540 ",NA,NA,NA
"Preschool teachers, except special ed",4,Line item,478.5,528.6,50.1,10.5,1,53.6,"$28,990 ",Associate's degree,None,None
"Kindergarten teachers, except special education",4,Line item,154.4,166.7,12.3,7.9,0.2,16.7,"$54,230 ",Bachelor's degree,None,None
Elementary & middle school teachers,3,Summary,"2,053.90","2,206.20",152.3,7.4,NA,164.4,"$57,350 ",NA,NA,NA
"Elementary school teachers, except special ed",4,Line item,"1,410.90","1,514.90",104.1,7.4,NA,112.8,"$57,160 ",Bachelor's degree,None,None
"Middle school teachers, except special ed",4,Line item,630.3,677.7,47.3,7.5,NA,50.5,"$57,720 ",Bachelor's degree,None,None
"Career education teachers, middle school",4,Line item,12.7,13.6,0.9,7.3,NA,1,"$58,630 ",Bachelor's degree,Less than 5 years,None
Secondary school teachers,3,Summary,"1,097.40","1,179.20",81.8,7.5,NA,85.5,"$59,130 ",NA,NA,NA
"Secondary school teachers, except special ed",4,Line item,"1,018.70","1,095.50",76.8,7.5,NA,79.5,"$59,170 ",Bachelor's degree,None,None
"Career education teachers, secondary school",4,Line item,78.7,83.7,5,6.4,NA,6,"$58,660 ",Bachelor's degree,Less than 5 years,None
Special education teachers,3,Summary,480.6,517.9,37.3,7.8,NA,38.5,"$58,710 ",NA,NA,NA
"Special education teachers, preschool",4,Line item,29.2,32.5,3.3,11.2,NA,2.5,"$53,640 ",Bachelor's degree,None,None
"Special education teachers, kindergarten & elementary school",4,Line item,188.9,202.8,13.9,7.4,NA,15,"$58,600 ",Bachelor's degree,None,None
"Special education teachers, middle school",4,Line item,89.3,95.7,6.3,7.1,NA,7.1,"$59,510 ",Bachelor's degree,None,None
"Special education teachers, secondary school",4,Line item,131.9,141.6,9.7,7.4,NA,10.5,"$60,180 ",Bachelor's degree,None,None
"Special education teachers, all other",4,Line item,41.3,45.4,4.1,9.8,NA,3.4,"$54,800 ",Bachelor's degree,None,None
Other teachers & instructors,2,Summary,"1,416.20","1,568.20",152,10.7,11,176,"$32,460 ",NA,NA,NA
Adult basic & secondary education & literacy teachers & instructors,3,Line item,68.2,64.7,-3.4,-5.1,7.8,6.8,"$52,100 ",Bachelor's degree,None,None
Self-enrichment education teachers,3,Line item,354.2,411.6,57.4,16.2,19.8,47,"$38,440 ",High school diploma or equivalent,Less than 5 years,None
"Teachers & instructors, all other",3,Line item,993.9,"1,091.80",98,9.9,8.1,122.2,"$30,310 ",Bachelor's degree,None,None
"Librarians, curators, & archivists",2,Summary,268.4,293.9,25.6,9.5,0.2,32.6,"$47,380 ",NA,NA,NA
"Archivists, curators, & museum technicians",3,Summary,31,35.1,4.2,13.5,1.4,3.7,"$47,360 ",NA,NA,NA
Archivists,4,Line item,6.8,7.8,1,14.3,1.3,0.8,"$51,760 ",Master's degree,None,None
Curators,4,Line item,12.4,14.1,1.7,14,1.6,1.5,"$53,770 ",Master's degree,None,None
Museum technicians & conservators,4,Line item,11.8,13.3,1.5,12.4,1.4,1.4,"$40,670 ",Bachelor's degree,None,None
Librarians,3,Line item,138.2,150.6,12.4,8.9,NA,14.5,"$58,520 ",Master's degree,None,None
Library technicians,3,Line item,99.2,108.2,9,9.1,NA,14.4,"$33,690 ",Postsecondary nondegree award,None,None
"Other education, training, & library occupations",2,Summary,"1,605.70","1,746.40",140.7,8.8,0.6,178.8,"$28,320 ",NA,NA,NA
Audio-visual & multimedia collections specialists,3,Line item,11.3,12.3,1,8.9,2.2,1.1,"$48,590 ",Bachelor's degree,Less than 5 years,None
Farm & home management advisors,3,Line item,10.4,11.2,0.8,7.5,1.4,1,"$49,510 ",Master's degree,None,None
Instructional coordinators,3,Line item,163.2,180.4,17.2,10.5,3.5,16.9,"$63,750 ",Master's degree,5 years or more,None
Teacher assistants,3,Line item,"1,308.10","1,417.60",109.5,8.4,0.1,147.9,"$26,260 ","Some college, no degree",None,None
"Education, training, & library workers, all other",3,Line item,112.7,124.9,12.2,10.8,2.8,11.7,"$43,140 ",Bachelor's degree,None,None
"Arts, design, entertainment, sports, & media occupations",1,Summary,"2,772.90","2,941.00",168.1,6.1,25.2,288.9,"$48,230 ",NA,NA,NA
Art & design workers,2,Summary,833.7,867.4,33.7,4,29.1,78.2,"$45,250 ",NA,NA,NA
Artists & related workers,3,Summary,217.4,231.6,14.2,6.5,58.2,18.9,"$74,090 ",NA,NA,NA
Art directors,4,Line item,90.3,95.2,4.9,5.4,59.4,7.7,"$92,500 ",Bachelor's degree,5 years or more,None
Craft artists,4,Line item,12.5,13.1,0.5,4.3,59.9,1.1,"$34,940 ",No formal educational credential,None,Long-term on-the-job training
"Fine artists, including painters, sculptors, & illustrators",4,Line item,28,29.9,1.9,6.6,58.6,2.4,"$49,520 ",Bachelor's degree,None,Long-term on-the-job training
Multimedia artists & animators,4,Line item,73.7,79.9,6.2,8.4,59,6.6,"$70,530 ",Bachelor's degree,None,None
"Artists & related workers, all other",4,Line item,12.8,13.5,0.7,5.5,42.8,1.1,"$63,540 ",No formal educational credential,None,Long-term on-the-job training
Designers,3,Summary,616.3,635.8,19.5,3.2,18.8,59.3,"$41,480 ",NA,NA,NA
Commercial & industrial designers,4,Line item,39.7,41.4,1.8,4.4,19.2,3.9,"$65,970 ",Bachelor's degree,None,None
Fashion designers,4,Line item,23.8,24.4,0.6,2.6,19.2,2.3,"$67,420 ",Bachelor's degree,None,None
Floral designers,4,Line item,55,51.4,-3.5,-6.4,19.1,4.5,"$26,350 ",High school diploma or equivalent,None,Moderate-term on-the-job training
Graphic designers,4,Line item,266.3,277.4,11.1,4.2,18.2,26,"$48,700 ",Bachelor's degree,None,None
Interior designers,4,Line item,66.5,69.5,2.9,4.4,18.9,6.5,"$51,500 ",Bachelor's degree,None,None
Merchandise displayers & window trimmers,4,Line item,141.4,146,4.6,3.2,19.4,13.6,"$27,680 ",High school diploma or equivalent,None,Short-term on-the-job training
Set & exhibit designers,4,Line item,14.6,16.1,1.5,10.3,18.2,1.6,"$53,090 ",Bachelor's degree,None,None
"Designers, all other",4,Line item,9,9.5,0.5,5.8,18.8,0.9,"$55,930 ",Bachelor's degree,None,None
"Entertainers & performers, sports & related workers",2,Summary,801.9,881.6,79.6,9.9,21,99.8,"$42,010 ",NA,NA,NA
"Actors, producers, & directors",3,Summary,198.5,222.4,23.8,12,19.2,21.4,"$62,760 ",NA,NA,NA
Actors,4,Line item,63.8,71.2,7.4,11.6,25.8,7.4, NA ,"Some college, no degree",None,Long-term on-the-job training
Producers & directors,4,Line item,134.7,151.2,16.5,12.2,16,14.1,"$71,620 ",Bachelor's degree,Less than 5 years,None
"Athletes, coaches, umpires, & related workers",3,Summary,309,347.2,38.2,12.3,10.1,46.9,"$32,200 ",NA,NA,NA
Athletes & sports competitors,4,Line item,11.8,12.7,0.9,7.5,14.8,1.7,"$51,370 ",No formal educational credential,None,Long-term on-the-job training
Coaches & scouts,4,Line item,276.1,311.7,35.7,12.9,10,42.1,"$32,270 ",Bachelor's degree,None,None
"Umpires, referees, & other sports officials",4,Line item,21.1,22.7,1.6,7.6,8.8,3,"$26,800 ",High school diploma or equivalent,None,Moderate-term on-the-job training
Dancers & choreographers,3,Summary,20.4,21.2,0.8,4,26.7,2.8,"$35,680 ",NA,NA,NA
Dancers,4,Line item,13.5,14.1,0.6,4.6,26.8,1.9, NA ,No formal educational credential,None,Long-term on-the-job training
Choreographers,4,Line item,6.9,7.1,0.2,2.8,26.4,0.9,"$48,420 ",High school diploma or equivalent,5 years or more,Long-term on-the-job training
"Musicians, singers, & related workers",3,Summary,247.3,261.9,14.7,5.9,32.4,25.5, NA ,NA,NA,NA
Music directors & composers,4,Line item,74.8,79.1,4.3,5.7,25.8,7.7,"$50,590 ",Bachelor's degree,Less than 5 years,None
Musicians & singers,4,Line item,172.4,182.8,10.4,6,35.3,17.8, NA ,No formal educational credential,None,Long-term on-the-job training
"Entertainers & performers, sports & related workers, all other",3,Line item,26.7,28.9,2.2,8.1,50.2,3.2, NA ,No formal educational credential,None,Short-term on-the-job training
Media & communication workers,2,Summary,774.8,818,43.2,5.6,21,78.2,"$56,340 ",NA,NA,NA
Announcers,3,Summary,52.7,48.2,-4.5,-8.5,29.8,4.3,"$31,500 ",NA,NA,NA
Radio & television announcers,4,Line item,41.3,36.5,-4.8,-11.6,29.8,3.2,"$32,450 ",Bachelor's degree,None,None
Public address system & other announcers,4,Line item,11.4,11.7,0.3,2.5,29.8,1.1,"$28,440 ",High school diploma or equivalent,None,Short-term on-the-job training
"News analysts, reporters & correspondents",3,Summary,50.4,45.9,-4.5,-8.9,11.3,4.2,"$40,910 ",NA,NA,NA
Broadcast news analysts,4,Line item,5.7,5.6,0,-0.4,11.1,0.5,"$62,910 ",Bachelor's degree,None,None
Reporters & correspondents,4,Line item,44.7,40.2,-4.5,-10,11.3,3.7,"$39,370 ",Bachelor's degree,None,None
Public relations specialists,3,Line item,259.6,282.6,22.9,8.8,2.5,28.2,"$59,300 ",Bachelor's degree,None,None
Writers & editors,3,Summary,311,324.9,13.9,4.5,35.7,30.3,"$62,720 ",NA,NA,NA
Editors,4,Line item,127.4,125.6,-1.8,-1.4,20,12,"$58,770 ",Bachelor's degree,Less than 5 years,None
Technical writers,4,Line item,52.4,58.1,5.7,11,3.1,5.7,"$70,930 ",Bachelor's degree,Less than 5 years,Short-term on-the-job training
Writers & authors,4,Line item,131.2,141.2,10,7.6,63.9,12.6,"$61,820 ",Bachelor's degree,None,Long-term on-the-job training
Miscellaneous media & communication workers,3,Summary,101.1,116.4,15.3,15.1,23.5,11.2,"$47,360 ",NA,NA,NA
Interpreters & translators,4,Line item,68.2,80.3,12.1,17.7,21.6,7.8,"$47,190 ",Bachelor's degree,None,None
"Media & communication workers, all other",4,Line item,32.9,36.2,3.3,9.9,27.6,3.4,"$47,900 ",High school diploma or equivalent,None,Short-term on-the-job training
Media & communication equipment workers,2,Summary,362.5,374.1,11.6,3.2,34.4,32.7,"$45,570 ",NA,NA,NA
Broadcast & sound engineering technicians & radio operators,3,Summary,135.3,146,10.7,7.9,9.7,13.7,"$42,660 ",NA,NA,NA
Audio & video equipment technicians,4,Line item,83.3,94,10.7,12.9,9.4,9,"$42,190 ",Postsecondary nondegree award,None,Short-term on-the-job training
Broadcast technicians,4,Line item,34,32.9,-1.1,-3.2,10.2,2.9,"$39,060 ",Associate's degree,None,Short-term on-the-job training
Radio operators,4,Line item,0.9,0.9,0,-1,NA,0.1,"$44,330 ",High school diploma or equivalent,None,Short-term on-the-job training
Sound engineering technicians,4,Line item,17,18.1,1.1,6.3,10.8,1.7,"$55,810 ",Postsecondary nondegree award,None,Short-term on-the-job training
Photographers,3,Line item,147.3,139,-8.3,-5.6,68.2,10.3,"$32,490 ",High school diploma or equivalent,None,Long-term on-the-job training
"Television, video, & motion picture camera operators & editors",3,Summary,59.3,66.9,7.6,12.7,15.9,6.6,"$58,210 ",NA,NA,NA
"Camera operators, television, video, & motion picture",4,Line item,25.1,26.9,1.8,7,15.3,2.6,"$53,550 ",Bachelor's degree,None,None
Film & video editors,4,Line item,34.2,40,5.8,17,16.3,4,"$61,180 ",Bachelor's degree,None,None
"Media & communication equipment workers, all other",3,Line item,20.6,22.2,1.6,7.9,7.8,2.1,"$79,500 ",High school diploma or equivalent,None,Short-term on-the-job training
Healthcare practitioners & technical occupations,1,Summary,"8,751.50","10,088.10","1,336.60",15.3,2.7,625.1,"$64,770 ",NA,NA,NA
Health diagnosing & treating practitioners,2,Summary,"5,485.40","6,380.00",894.6,16.3,3.8,355.8,"$79,480 ",NA,NA,NA
Chiropractors,3,Line item,47.4,53.3,5.9,12.5,30.1,1.8,"$68,640 ",Doctoral or professional degree,None,None
Dentists,3,Summary,153.5,182.8,29.3,19.1,19.3,7.3,"$158,120 ",NA,NA,NA
"Dentists, general",4,Line item,132.8,158.5,25.7,19.4,19.6,6.4,"$151,440 ",Doctoral or professional degree,None,None
Oral & maxillofacial surgeons,4,Line item,6.8,8.1,1.3,19.1,19.8,0.3," >=$208,000 ",Doctoral or professional degree,None,Internship/residency
Orthodontists,4,Line item,6.6,7.8,1.3,19.3,19.9,0.3," >=$208,000 ",Doctoral or professional degree,None,Internship/residency
Prosthodontists,4,Line item,0.9,1.1,0.2,19.1,19.9,0,"$185,150 ",Doctoral or professional degree,None,Internship/residency
